attendance,endurance,strength,flexibility,participation,skill_speed,physical_progress,score
66,60,69,61,55,54,40,52.19
74,67,65,61,56,94,52,68.4
77,51,72,50,61,40,87,62.36
51,76,76,72,68,49,40,60.48
84,30,71,39,72,54,75,61.25
86,79,87,73,87,85,40,80.2
54,65,63,70,83,89,54,69.3
50,74,40,71,93,37,72,68.07
89,65,42,86,55,47,66,64.8
61,63,59,55,85,51,81,58.18
85,38,39,42,99,94,61,69.89
94,33,44,38,98,49,80,61.06
72,92,57,62,92,39,74,68.42
96,33,35,60,81,57,75,62.76
80,34,47,85,81,34,44,59.81
60,39,71,41,98,62,41,60.72
59,73,60,85,99,38,59,71.44
52,69,53,87,56,57,58,59.49
63,65,60,52,74,42,68,58.48
65,64,94,54,71,66,51,68.09
59,88,82,58,93,67,47,70.87
78,94,84,62,93,35,66,74.88
59,60,85,47,62,93,86,76.22
61,75,76,70,57,62,58,63.51
79,78,91,73,55,51,45,64.97
90,35,91,41,83,61,54,70.64
50,48,36,85,85,64,40,61.07
54,71,75,87,61,78,62,66.08
69,59,53,65,67,81,68,61.92
57,55,46,33,94,78,86,63.79
92,32,78,42,75,32,71,56.53
61,62,69,60,85,73,71,65.67
50,79,66,51,80,30,81,64.67
69,60,87,75,84,93,45,73.39
77,39,47,66,87,49,88,63.49
92,51,70,85,88,64,87,78.93
86,92,35,68,56,50,66,63.0
96,83,67,87,59,73,58,77.44
86,80,87,59,94,93,66,74.62
61,33,38,85,60,43,86,52.62
86,66,90,63,82,65,65,80.74
98,92,36,60,73,80,88,74.44
98,80,42,35,77,54,93,63.76
93,37,50,84,87,37,87,74.17
77,30,56,55,82,55,70,65.57
96,37,44,78,68,48,44,61.82
64,84,43,74,60,78,63,71.65
55,38,93,42,73,52,70,55.13
93,80,88,58,56,84,73,78.51
69,45,41,79,61,76,71,64.56
99,82,74,55,84,57,78,75.9
63,88,51,68,88,47,66,64.79
51,74,64,51,64,36,84,65.37
58,66,45,81,90,81,50,68.64
86,93,77,33,55,30,78,71.49
69,65,89,64,86,56,78,76.16
75,79,49,34,81,92,56,74.96
78,82,41,57,92,93,57,71.91
50,86,37,89,67,54,57,60.75
84,48,57,50,88,70,54,65.31
55,55,61,38,98,56,67,66.95
86,72,64,39,67,82,52,66.3
54,87,82,86,80,61,74,76.83
82,88,50,84,65,30,87,75.1
98,75,48,69,55,77,41,70.38
63,69,86,62,63,44,92,68.53
61,42,56,69,96,47,47,56.8
91,38,84,72,78,71,56,71.37
69,82,54,34,88,57,48,61.94
99,33,44,38,73,93,76,60.1
73,43,92,46,61,62,84,66.8
92,37,63,62,77,47,88,65.61
83,91,38,46,59,78,90,68.36
74,74,65,35,75,73,75,69.18
99,91,48,56,89,30,72,67.08
78,65,39,56,71,68,59,62.92
88,30,72,75,56,93,92,74.61
80,89,38,43,96,38,81,66.93
96,42,45,34,82,57,47,58.81
92,41,88,46,59,48,71,65.54
99,46,59,33,65,49,46,58.49
72,76,46,70,93,89,91,75.34
93,82,86,36,62,87,72,77.18
87,39,65,66,66,42,61,61.1
69,75,45,43,68,30,75,59.28
72,33,73,81,57,58,48,58.64
94,86,66,42,69,45,91,73.37
65,67,45,58,86,51,65,62.24
99,41,41,78,73,92,47,70.27
91,60,90,84,73,31,73,73.97
57,31,36,63,61,33,67,50.06
99,30,35,63,66,68,52,55.51
70,54,59,67,61,51,60,59.26
50,34,43,68,91,41,53,51.58
57,77,80,77,90,57,93,80.81
78,43,86,54,77,44,75,62.63
81,81,70,64,88,39,78,75.48
87,50,63,49,93,83,85,74.05
54,54,44,60,56,61,49,58.5
96,79,61,75,70,31,75,74.88
71,62,53,88,56,88,71,73.99
96,46,53,73,90,67,46,65.9
83,63,87,83,71,55,64,73.48
50,55,87,54,93,40,68,64.16
75,71,54,84,83,30,44,59.93
92,60,63,87,78,78,56,69.46
59,80,87,87,81,53,62,77.22
79,65,37,58,80,53,75,59.58
99,42,56,79,61,46,83,65.62
67,42,90,81,55,59,68,62.58
66,61,56,79,69,41,83,64.51
75,34,63,75,63,58,67,59.02
57,41,57,63,92,42,55,54.61
96,88,74,39,67,33,51,70.9
89,70,89,48,87,78,78,78.98
98,66,60,88,84,51,92,74.91
61,77,81,68,71,89,45,70.13
76,72,87,40,72,60,46,69.61
57,70,56,69,70,35,44,60.74
74,85,72,69,76,34,51,66.6
95,40,43,65,65,38,66,50.29
53,38,55,52,69,63,54,59.25
82,57,70,84,95,85,69,78.93
50,51,84,73,81,85,63,71.09
68,35,82,67,62,39,66,64.32
80,55,70,54,58,57,92,65.83
65,45,66,73,86,67,91,68.92
63,43,66,78,74,78,94,73.25
97,64,68,74,92,45,45,69.26
54,71,57,50,84,78,78,68.7
90,82,60,67,61,49,63,67.09
75,51,88,56,91,89,62,67.75
77,82,50,31,59,54,53,59.49
51,42,72,35,97,67,93,69.96
99,40,83,64,96,63,84,68.85
55,41,37,38,72,32,90,53.19
58,82,79,49,78,65,68,72.78
82,38,36,84,88,78,58,63.0
90,46,70,81,55,42,48,61.5
74,90,43,62,94,69,89,72.55
97,39,93,76,77,41,58,70.56
62,67,62,58,82,34,60,62.03
58,68,58,56,96,74,94,74.2
62,59,83,30,80,86,81,71.59
80,63,79,42,58,93,57,70.42
90,62,62,32,88,55,74,69.21
60,61,41,30,84,43,89,59.08
53,41,60,49,70,40,80,53.67
83,94,80,69,72,84,93,82.51
87,39,35,87,86,54,49,66.17
95,48,75,55,91,80,90,77.52
53,52,79,41,67,68,83,65.66
87,86,75,35,71,85,44,67.07
68,88,69,83,68,43,50,70.97
55,83,52,79,55,37,78,65.13
83,31,90,38,93,94,85,78.83
67,77,56,85,93,78,76,80.25
62,35,47,84,73,90,62,58.43
90,72,50,65,96,60,40,70.25
72,46,81,49,87,59,75,64.87
68,65,85,39,66,76,54,63.32
94,53,63,39,64,43,72,63.8
60,90,55,60,83,32,71,65.47
50,58,76,49,81,82,69,65.1
73,87,43,54,87,53,43,65.16
56,82,63,74,70,72,83,71.4
74,38,46,60,74,32,68,55.81
70,71,42,76,68,39,64,62.36
64,68,44,70,68,57,60,59.63
50,69,68,38,68,38,49,56.23
61,88,81,82,95,55,83,76.37
56,73,54,70,66,44,88,60.31
64,94,50,78,74,68,49,64.26
70,40,76,53,60,65,61,60.61
68,34,79,33,84,74,76,67.41
78,78,45,66,91,48,90,74.47
74,80,91,74,71,42,70,68.31
82,65,82,53,85,81,54,73.65
98,45,48,43,75,51,48,60.05
81,36,65,37,60,60,80,62.02
98,73,74,78,65,53,92,79.08
84,55,85,56,98,36,91,73.73
93,65,68,71,86,60,52,73.45
87,82,38,82,80,37,91,73.71
75,73,84,59,98,52,67,73.21
60,41,92,79,58,41,93,68.7
84,52,82,43,63,41,68,63.95
57,59,41,69,98,82,76,70.49
95,92,76,69,56,70,91,79.98
63,32,72,87,80,72,69,61.18
59,63,35,47,82,93,83,70.89
51,78,84,42,81,52,50,63.84
95,73,92,58,63,92,53,80.8
58,70,80,57,97,89,76,77.93
52,77,58,77,88,69,46,68.61
70,37,76,81,97,44,62,63.47
75,36,62,79,81,87,77,67.45
57,66,58,33,59,48,57,52.0
97,84,47,56,97,65,68,75.11
51,79,72,65,97,76,49,73.78
55,50,44,53,91,76,77,70.93
77,63,60,87,63,64,65,68.36
78,78,89,86,60,75,92,81.24
75,56,36,53,82,74,78,65.68
74,37,67,32,61,85,93,67.26
61,63,62,74,73,74,64,67.99
54,47,61,48,82,56,92,67.76
83,80,40,68,81,43,85,69.12
97,41,92,78,70,73,53,72.89
86,80,93,38,81,63,55,74.51
64,92,85,51,72,87,82,76.23
93,69,51,87,98,68,55,75.05
85,51,67,51,55,33,47,58.36
64,37,49,84,98,86,84,63.26
92,57,80,45,63,74,57,69.6
97,79,37,85,67,81,47,70.44
72,76,44,37,72,76,87,61.36
55,85,63,46,96,79,60,66.89
95,61,41,77,70,38,89,64.68
99,40,84,66,74,31,45,60.67
93,50,70,56,86,58,92,73.16
92,55,86,64,88,32,85,73.29
94,43,78,64,88,74,56,70.65
70,43,56,43,55,52,52,50.58
72,32,65,81,89,54,61,64.46
92,86,73,72,55,90,94,80.27
65,36,48,70,67,78,62,66.53
96,68,36,51,82,83,43,64.74
64,86,83,51,62,76,57,70.16
74,94,40,81,57,48,63,59.74
85,54,53,40,57,66,57,65.02
60,60,61,61,56,94,43,69.72
64,39,40,56,87,75,44,50.08
53,38,36,49,99,65,62,66.06
70,37,92,75,88,94,50,71.4
62,48,47,63,99,58,54,56.31
71,59,89,48,81,59,92,70.73
68,38,81,39,73,75,78,63.08
83,76,94,42,61,41,61,64.7
63,75,44,80,88,66,83,65.75
53,30,74,81,87,87,52,62.55
97,32,39,57,88,79,83,67.9
95,63,48,37,88,42,48,61.73
76,54,65,82,71,85,48,70.65
78,59,59,51,61,76,58,68.18
96,30,40,83,92,55,51,62.26
77,47,46,57,95,90,74,67.88
84,62,37,45,84,60,59,64.62
57,38,81,46,91,62,40,58.48
65,36,84,69,82,61,81,72.73
91,59,57,71,78,50,94,73.29
85,42,35,78,72,67,76,61.36
79,42,49,69,75,88,81,68.72
67,71,83,48,59,89,47,61.72
51,92,74,78,90,79,83,79.74
98,65,47,83,70,88,62,73.7
62,64,72,67,67,83,89,67.61
53,75,48,47,87,58,58,56.34
75,74,53,66,94,67,59,67.96
74,85,43,58,67,33,50,52.04
79,34,62,44,59,86,43,58.15
60,73,67,50,82,48,69,71.22
56,57,87,85,63,61,61,67.89
80,71,67,36,81,51,75,67.29
93,60,79,80,72,79,63,76.42
59,36,73,65,69,65,51,60.89
88,36,67,77,74,82,53,70.83
62,33,38,51,56,88,63,54.11
80,61,52,84,64,86,54,74.33
56,57,60,66,68,78,59,66.01
98,85,59,35,70,51,57,65.06
91,33,69,69,74,69,83,68.66
91,37,88,43,94,46,93,68.49
85,43,73,46,62,72,89,72.35
69,59,52,30,71,30,82,50.66
53,32,67,73,83,77,62,61.66
56,31,52,31,80,49,89,61.27
50,39,90,71,87,70,86,70.69
93,45,63,74,57,88,72,73.08
94,51,75,67,61,63,63,67.09
91,64,42,75,66,34,82,66.74
96,78,83,78,74,66,52,73.61
62,31,36,65,64,79,46,47.57
71,48,38,84,97,47,86,71.6
70,33,49,79,93,91,49,64.35
71,70,42,50,82,52,53,65.62
77,85,64,34,71,89,90,76.69
58,84,81,49,92,86,83,81.52
75,60,91,70,69,35,82,65.33
58,51,73,87,62,34,64,58.58
64,77,58,51,73,83,54,67.94
59,33,75,69,74,90,79,64.46
73,50,86,52,73,56,44,59.93
91,70,46,87,74,78,57,71.35
57,74,70,86,70,94,52,69.8
73,37,48,30,94,44,87,65.75
65,38,77,42,92,78,65,68.27
98,47,66,53,63,42,46,58.61
75,60,85,54,76,46,63,66.22
76,64,89,72,69,48,89,72.13
86,59,48,57,82,56,65,69.51
53,47,62,33,58,88,43,56.5
99,70,77,52,99,77,63,78.66
73,53,54,78,68,32,85,60.97
68,77,47,33,79,73,72,59.14
85,43,80,69,97,72,66,74.47
88,48,79,87,96,60,71,70.79
59,89,51,63,92,48,40,61.16
74,51,64,49,91,86,75,69.73
67,59,82,46,63,75,64,70.36
68,44,74,59,72,33,53,53.91
85,50,51,57,82,30,76,61.62
59,55,66,53,83,57,40,57.05
82,41,78,77,91,88,55,78.21
99,36,94,60,84,64,85,76.75
54,64,53,61,94,75,67,69.67
96,31,43,67,84,76,52,64.11
98,49,77,88,82,75,93,78.57
84,76,60,58,92,59,42,72.33
93,41,94,36,72,80,68,69.73
83,82,35,81,85,94,90,74.49
82,46,83,83,87,77,43,71.85
70,47,53,83,59,50,78,57.32
66,53,79,44,72,61,56,63.86
71,66,46,85,96,83,55,71.34
97,59,89,74,88,47,68,76.56
86,81,78,35,61,72,64,72.22
64,52,62,83,76,34,67,61.32
84,66,79,46,60,54,74,67.94
77,53,72,62,97,39,71,64.38
56,79,65,73,90,33,58,68.6
81,49,94,30,66,90,60,70.11
60,76,47,88,85,36,48,62.03
59,47,87,32,90,71,75,64.35
58,55,77,42,83,35,48,53.96
63,72,86,40,71,66,52,65.04
62,76,87,41,71,59,42,60.18
74,72,87,47,62,94,92,79.77
51,61,45,69,91,40,46,59.79
84,36,46,45,64,85,58,60.2
56,61,57,62,92,83,87,68.67
70,94,92,70,92,69,50,73.35
67,87,88,33,68,41,89,70.16
52,82,81,53,89,55,78,77.03
91,63,63,65,74,88,51,70.36
88,85,43,76,62,77,63,69.74
90,61,48,75,56,90,93,73.24
98,79,66,83,69,31,59,69.94
60,53,37,73,60,93,87,63.04
88,75,41,36,70,56,88,66.7
73,32,40,38,69,61,40,44.77
95,39,69,66,66,45,72,63.72
68,35,61,48,83,92,85,70.75
53,81,89,86,71,43,56,65.46
75,79,62,87,77,66,64,69.44
87,87,57,58,64,59,86,69.41
91,81,44,35,92,45,50,60.91
81,42,51,65,98,93,65,68.34
88,88,88,87,76,35,59,74.0
94,68,49,51,69,68,50,62.68
95,82,48,51,85,86,55,72.0
85,87,45,67,57,72,54,67.12
89,49,89,72,56,93,89,77.7
86,92,63,32,63,51,46,64.89
82,39,52,54,99,47,54,62.53
85,55,60,43,79,73,80,68.51
52,48,81,34,86,53,88,69.13
58,90,85,47,79,83,47,71.53
57,63,59,57,57,80,69,66.67
82,73,74,59,58,58,78,73.86
55,47,77,65,73,79,69,66.52
90,45,35,35,65,91,93,63.7
88,55,37,60,57,87,69,56.25
53,94,53,84,79,87,84,72.89
62,56,45,47,89,62,49,58.33
98,33,62,54,77,56,92,70.4
51,80,85,63,58,92,69,73.8
54,32,52,82,86,78,84,66.29
93,45,87,89,59,49,74,68.68
76,57,80,37,67,58,50,60.59
81,73,48,57,85,64,58,66.06
70,47,47,36,57,93,94,68.86
57,31,53,63,78,42,72,55.3
87,73,78,54,79,60,65,69.9
57,49,85,83,63,89,68,70.87
99,85,66,30,70,82,67,72.21
52,52,77,72,93,82,83,72.93
93,89,67,88,65,57,68,74.0
52,74,40,31,67,43,54,52.52
71,76,64,63,83,57,92,69.26
55,66,44,61,57,75,90,67.82
51,37,64,41,90,51,47,60.36
72,34,43,73,85,69,79,54.57
93,52,40,83,61,61,80,66.91
51,39,79,55,59,66,47,61.28
87,56,40,83,77,71,49,62.68
66,30,54,51,68,88,83,63.95
84,37,51,72,63,69,62,59.87
83,40,36,60,81,47,78,60.97
72,57,36,62,60,52,43,53.85
79,63,44,51,92,50,67,65.19
57,72,35,77,55,58,65,58.06
71,57,68,37,86,75,48,70.18
93,78,81,45,88,81,72,79.52
85,90,87,57,68,55,93,74.59
54,66,70,43,73,88,42,60.82
62,32,74,33,95,84,67,65.0
78,38,85,53,66,58,77,59.03
80,31,54,48,74,35,57,57.02
96,52,66,88,87,45,54,72.66
65,80,90,83,91,37,44,69.23
91,46,51,54,83,65,80,72.02
79,54,94,76,79,34,46,62.09
65,56,73,77,75,34,77,58.72
61,49,56,46,70,58,88,59.38
66,65,39,65,84,86,64,66.19
65,57,35,31,83,68,83,58.18
61,58,65,74,83,89,77,73.31
57,71,52,56,75,68,51,59.94
69,87,39,71,99,92,69,74.47
52,61,59,37,61,52,84,58.92
65,41,41,66,63,54,75,56.93
79,59,48,34,89,66,43,62.22
94,89,41,75,56,77,69,75.57
72,40,64,33,87,81,81,63.39
77,40,51,88,75,69,55,62.31
89,79,47,35,75,31,93,64.96
54,30,58,58,95,46,51,63.35
69,56,70,37,98,78,75,73.39
89,61,46,77,83,75,44,69.21
93,35,52,39,60,67,87,61.85
50,70,57,64,56,79,83,61.4
79,65,56,82,73,46,54,60.79
70,68,59,39,85,51,54,66.25
69,59,78,75,79,52,73,70.48
55,86,59,45,56,58,68,63.53
71,40,70,41,90,68,57,63.67
67,32,55,54,58,41,55,51.78
57,77,82,44,69,53,40,63.79
88,35,80,43,68,36,67,56.32
81,36,63,89,73,63,64,67.45
82,73,94,35,58,46,89,70.37
65,90,87,65,71,54,91,71.46
61,83,42,86,97,87,57,71.87
87,80,83,32,98,45,60,74.1
83,77,88,74,84,51,94,75.85
63,90,39,56,98,30,59,65.58
85,69,36,46,71,48,43,54.79
82,32,86,54,86,89,94,80.47
72,59,57,81,88,53,88,70.33
99,53,36,77,69,64,60,56.37
94,31,56,64,71,44,71,64.29
51,73,55,34,85,65,65,61.82
90,69,78,59,96,37,45,67.15
70,48,94,47,66,33,40,56.71
51,92,83,49,87,68,57,71.71
76,53,51,56,68,86,49,63.39
58,79,74,73,72,80,92,73.74
50,49,65,46,69,91,82,67.43
60,86,59,63,62,68,69,67.73
52,79,41,85,77,70,60,66.94
72,87,59,37,58,46,41,60.03
75,60,52,86,91,52,61,69.85
53,66,66,41,86,62,54,60.71
67,33,92,64,82,90,61,71.91
55,87,92,32,92,85,56,74.66
84,39,42,76,72,80,60,64.79
71,92,81,43,56,65,63,69.07
92,65,48,74,78,39,94,70.89
64,84,82,44,68,93,48,71.83
71,86,40,68,89,92,74,73.61
86,72,89,32,85,55,57,70.2
91,94,57,53,55,93,80,73.22
61,41,49,31,81,89,71,67.83
96,91,56,34,75,45,87,67.19
98,53,70,33,93,62,40,61.63
91,31,37,65,59,79,76,58.74
87,76,79,31,72,53,42,64.51
67,85,78,40,72,80,65,74.28
94,45,43,46,61,73,50,63.56
84,63,39,41,89,81,85,65.85
79,47,46,82,89,46,88,65.78
73,58,63,48,73,84,62,67.91
91,83,35,42,81,61,79,71.24
79,80,67,48,57,73,81,68.41
63,43,90,49,70,75,62,66.91
55,87,55,50,63,57,40,55.12
52,64,55,85,94,49,66,68.55
65,38,61,60,78,45,86,58.21
56,66,36,60,83,66,54,58.23
63,41,42,34,69,64,60,56.51
58,40,46,69,63,51,89,58.37
64,56,56,31,71,52,60,55.82
70,72,83,40,83,65,55,68.59
84,79,43,81,80,61,80,78.12
51,49,78,53,92,56,68,73.94
76,42,72,77,84,49,60,65.17
51,76,63,60,81,42,78,63.34
84,37,37,31,88,92,84,61.61
67,93,56,55,94,34,58,67.6
63,73,38,46,68,61,71,64.65
69,41,63,89,59,67,92,67.91
67,33,75,84,58,40,87,61.94
59,69,47,78,87,63,82,67.44
74,48,58,40,88,50,67,62.62
51,83,36,85,84,60,90,68.5
74,30,37,84,77,71,53,59.39
82,42,49,71,69,88,84,68.17
85,79,58,81,60,60,44,66.72
80,82,84,76,84,70,87,81.13
63,71,60,42,92,37,71,68.95
50,54,42,55,67,92,70,58.0
95,73,74,59,90,88,91,82.38
65,90,87,49,94,51,51,72.56
95,50,81,37,96,44,54,63.26
52,80,39,87,99,61,68,61.51
84,81,42,72,60,71,80,64.11
90,92,80,49,72,83,72,77.71
55,83,73,75,90,63,56,74.7
74,39,80,40,79,55,89,72.07
62,88,66,57,58,88,69,69.7
83,37,65,40,78,38,66,57.5
57,80,94,38,79,60,41,65.84
70,34,42,65,76,54,49,53.45
83,71,51,56,55,62,75,66.84
53,41,93,35,58,87,56,66.68
74,53,57,57,91,38,59,62.84
64,74,73,42,81,65,72,73.31
53,82,84,74,92,89,93,80.93
94,82,47,52,87,79,42,64.15
61,46,91,76,61,91,71,66.56
81,94,78,40,60,40,54,71.28
81,87,49,84,67,49,52,67.94
77,66,79,50,84,93,89,79.17
62,71,62,68,68,88,54,74.77
80,69,82,53,74,92,69,77.92
63,52,64,40,94,66,93,71.2
69,52,49,74,67,74,47,60.62
67,78,72,55,56,35,75,58.99
78,36,42,77,97,55,75,65.47
55,66,80,71,84,32,52,61.37
81,45,49,49,81,93,52,57.52
78,67,72,88,91,30,49,74.83
92,69,73,58,61,44,80,71.13
51,58,85,33,76,51,46,54.54
72,46,68,79,94,85,54,66.77
68,49,70,47,94,66,55,65.67
80,54,54,88,97,51,89,72.51
54,89,78,75,70,76,60,68.29
68,67,47,87,91,77,76,72.13
83,92,78,89,97,83,73,82.21
59,68,79,41,74,54,90,65.21
74,93,81,61,75,69,86,76.6
51,50,55,89,67,84,42,64.33
60,61,81,60,89,72,56,66.31
99,57,57,37,72,81,75,76.2
80,41,80,54,78,31,82,66.22
64,52,37,40,70,89,87,65.82
58,44,56,55,85,79,72,67.69
72,41,63,70,83,94,82,71.95
68,33,74,89,55,56,94,67.03
58,64,64,48,88,87,72,65.26
84,90,58,77,83,52,43,69.86
70,56,59,46,69,70,41,56.92
58,62,46,39,55,88,81,61.37
77,42,84,63,78,57,40,59.8
95,66,54,85,72,36,44,65.72
56,73,67,58,98,36,56,67.36
65,31,73,80,98,65,58,68.93
65,67,56,74,87,75,67,69.04
82,66,80,57,59,64,47,66.26
53,88,53,47,85,55,92,69.99
53,47,66,61,73,56,59,60.64
88,77,87,65,76,52,89,73.39
89,78,85,34,80,70,62,74.99
66,87,60,47,61,93,71,74.07
86,64,78,45,84,78,65,72.8
88,87,41,32,94,89,71,69.33
78,36,42,35,79,71,88,63.72
85,38,45,62,91,90,72,70.51
87,33,93,89,72,81,82,73.06
88,61,74,45,56,49,48,63.23
99,34,50,73,88,67,52,70.0
86,85,43,31,78,35,76,66.4
84,85,75,84,83,38,79,71.07
56,73,38,31,98,68,68,60.73
76,42,45,34,64,82,46,57.35
77,33,44,57,85,60,58,64.21
71,81,93,81,61,74,54,74.7
63,44,93,89,88,93,47,75.7
56,30,87,30,83,86,71,67.54
86,94,63,89,92,45,73,72.66
71,40,75,34,83,34,61,54.89
54,90,39,33,77,77,63,59.79
51,92,37,85,96,53,40,65.66
76,67,47,58,65,79,68,67.5
70,74,50,31,98,32,76,63.39
87,33,75,44,76,53,76,65.67
64,77,42,34,56,93,66,62.26
70,38,62,89,58,92,69,66.98
59,76,58,88,87,49,70,67.88
72,89,72,60,68,39,60,68.44
88,81,36,55,67,40,84,66.83
54,62,40,43,65,57,80,56.9
50,87,53,70,55,31,81,56.27
62,77,52,70,75,83,76,69.71
70,34,72,40,87,73,56,63.11
75,56,58,48,73,64,94,67.84
99,70,73,39,97,93,88,80.35
94,30,54,81,56,81,47,59.6
70,80,58,71,92,44,54,65.34
67,45,90,46,75,89,82,73.75
86,61,89,47,70,78,45,70.18
94,76,93,89,89,90,75,87.04
81,52,36,89,61,34,49,62.71
85,44,70,83,95,66,61,74.69
66,55,50,54,94,72,44,62.72
84,66,69,44,58,68,68,69.65
98,84,41,76,90,93,40,70.9
60,31,94,67,69,94,72,70.52
70,48,64,76,82,34,67,59.4
75,61,69,74,85,52,89,76.66
53,84,73,62,74,91,80,79.66
83,85,77,60,81,90,54,77.94
97,58,50,66,74,79,69,72.22
67,65,50,76,65,93,41,61.53
89,82,58,65,80,30,79,68.33
84,68,48,35,55,67,94,64.19
90,40,50,73,82,59,74,65.66
78,59,66,75,74,37,77,65.42
78,82,86,81,90,35,87,75.2
87,37,41,77,55,31,71,53.96
91,49,59,37,85,49,87,63.21
70,41,57,85,57,72,84,69.8
91,79,36,40,71,53,61,69.03
62,41,43,84,99,82,69,66.87
98,83,71,55,91,48,57,73.82
90,83,76,58,65,75,73,77.96
66,48,66,31,67,56,74,55.22
58,43,77,53,89,51,56,62.96
90,81,56,47,97,40,50,69.2
50,51,52,62,59,60,90,57.01
51,33,76,86,72,87,63,65.75
97,88,80,75,72,31,49,69.11
78,63,57,50,82,42,89,67.26
82,93,43,51,66,50,60,62.64
59,47,61,62,80,49,57,58.3
99,60,68,61,82,93,52,74.57
89,71,43,62,83,79,79,74.6
70,32,55,69,98,83,44,64.22
77,84,51,43,91,37,45,64.36
60,39,39,74,85,45,75,54.81
83,51,48,55,88,76,64,67.02
57,52,52,56,96,71,51,64.43
71,42,58,39,97,69,81,64.35
57,69,85,66,58,56,41,65.39
98,42,43,79,60,76,44,64.09
64,80,65,36,82,56,77,69.4
66,93,55,46,76,64,60,64.7
72,42,69,72,71,44,65,58.88
73,58,60,33,90,83,75,69.49
94,76,51,62,98,57,70,74.65
68,55,38,45,85,60,71,63.7
54,52,41,53,85,35,71,53.64
81,85,37,76,94,83,61,79.93
93,48,75,50,87,75,70,72.42
50,79,65,58,84,77,56,66.67
72,64,55,79,98,69,43,64.46
86,78,94,44,74,49,86,69.16
57,75,93,57,78,44,57,70.63
62,82,48,81,96,90,41,74.1
57,60,78,47,91,89,44,71.52
72,51,61,37,80,47,54,53.15
92,37,72,83,78,66,92,74.1
50,48,57,38,84,52,94,61.07
94,60,44,88,81,57,64,65.65
73,61,80,75,60,41,74,69.34
84,84,55,73,65,68,48,67.37
73,60,84,35,96,94,44,70.05
66,80,37,63,69,72,88,67.36
54,56,82,32,67,37,47,57.0
69,77,45,47,92,69,53,60.81
70,72,47,48,88,69,90,73.04
89,80,43,80,71,57,56,64.0
80,79,80,38,75,49,55,71.79
95,90,49,42,55,89,74,73.25
85,70,85,69,70,31,84,66.53
60,80,36,34,77,86,50,61.4
64,53,58,76,93,76,64,66.08
68,59,47,68,99,76,46,64.16
56,81,58,65,57,48,71,61.98
77,79,57,53,66,35,84,62.71
92,86,84,66,83,75,41,74.62
54,91,68,73,63,36,81,68.01
54,82,37,75,81,61,69,63.57
79,60,48,73,74,39,66,61.47
81,59,60,40,86,69,68,71.64
57,39,35,89,96,88,49,56.62
59,73,63,71,90,67,90,79.78
87,35,46,75,86,36,74,59.17
96,56,39,39,98,83,57,77.17
81,49,94,32,87,93,78,80.18
97,49,85,46,69,80,71,67.01
77,41,86,80,62,48,46,62.77
66,78,75,80,58,73,48,67.61
80,81,89,34,94,62,58,71.29
57,39,41,66,86,60,81,59.94
89,34,69,84,73,73,42,64.23
74,93,41,64,80,79,77,76.29
58,87,81,69,62,50,40,64.93
51,37,59,47,91,76,77,65.54
64,59,66,56,91,32,77,67.5
99,46,62,55,74,30,67,53.91
52,50,77,86,84,38,43,61.5
98,45,94,60,66,31,77,70.47
85,56,60,42,88,92,92,73.68
53,35,91,89,84,58,51,67.9
63,71,44,45,78,39,44,55.1
90,45,67,79,76,60,86,70.75
90,74,43,51,99,66,80,75.11
74,32,69,45,68,85,57,64.04
99,69,40,37,77,87,80,75.63
59,49,52,61,56,63,50,54.61
70,36,38,47,90,33,84,63.15
85,88,53,62,68,49,68,64.4
61,40,40,74,98,88,66,64.23
76,81,67,75,94,30,61,69.9
89,32,38,74,86,50,70,64.34
51,50,67,67,72,94,70,65.12
62,82,83,59,97,44,64,72.85
81,59,38,82,79,53,40,62.9
80,40,55,71,79,45,55,61.92
65,54,62,42,56,52,90,56.12
81,79,41,42,58,58,84,68.24
81,38,42,33,62,92,60,67.37
83,74,69,69,55,38,51,61.07
60,58,46,87,63,66,46,54.07
59,91,53,71,99,54,61,72.2
64,44,76,35,81,61,93,64.8
66,48,86,75,82,86,77,69.58
89,44,72,66,55,54,62,64.54
67,68,52,44,96,88,40,65.14
58,64,62,56,60,66,83,61.82
74,42,72,61,89,87,43,69.46
89,45,66,82,69,70,70,69.32
63,84,93,87,64,85,87,83.22
74,94,64,36,78,52,84,72.53
99,64,66,60,55,80,50,66.36
71,45,56,53,81,39,41,55.67
79,30,84,31,74,70,50,63.73
69,79,39,37,93,39,80,63.96
70,43,94,81,84,81,58,69.38
93,91,93,36,96,68,52,77.84
81,36,77,78,64,61,68,65.72
95,52,41,82,99,82,69,70.8
98,92,43,30,77,34,42,60.75
70,58,37,67,78,48,54,57.44
84,51,89,37,74,62,67,69.09
81,35,53,82,88,72,84,70.85
79,58,78,33,72,32,61,57.27
88,31,52,59,92,89,57,71.56
98,93,64,86,55,57,62,72.22
61,65,81,48,73,60,42,56.25
90,49,86,66,90,41,86,71.87
96,84,94,49,91,54,72,76.98
67,66,90,74,96,63,64,72.89
70,81,71,73,99,57,58,71.35
62,51,42,82,99,93,77,72.77
70,44,88,42,71,71,94,73.19
57,76,63,61,55,77,53,60.89
95,81,78,83,92,94,83,86.4
89,68,51,80,87,82,84,76.19
95,31,53,31,87,67,54,58.65
56,74,90,42,84,71,49,66.24
72,53,48,37,93,63,57,68.27
